base	base_type	sentences	type	EL_GT	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GT	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GT	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GT	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος τελείωσε τη δουλειά τους.	error [mixed]			Der Elektriker hat seine Arbeit beendet.	M			El electricista terminó su trabajo.	M			De elektricien is klaar met zijn werk.	M		
carpenter	male_base	The carpenter finished their work.	their	Ο μάστορας τελείωσε τη δουλειά τους.	error [mixed]			Der Zimmermann hat seine Arbeit beendet.	M			El carpintero terminó su trabajo.	M			De timmerman was klaar met zijn werk.	M		
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης τελείωσε το έργο του.	M			Die Feuerwehrleute haben ihre Arbeit beendet.	error [incorrect]			El bombero terminó su trabajo.	M			De brandweermannen zijn klaar met hun werk.	error [incorrect]		
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός τελείωσε τη δουλειά του.	M			Der Klempner hat seine Arbeit beendet.	M			El fontanero terminó su trabajo.	M			De loodgieter is klaar met zijn werk.	M		
construction worker	male_base	The construction worker finished their work.	their	Ο οικοδόμος τελείωσε τη δουλειά του.	M			Die Bauarbeiter haben ihre Arbeit beendet.	error [incorrect]			El trabajador de la construcción terminó su trabajo.	M			De bouwvakker is klaar met zijn werk.	M		
laborer	male_base	The laborer finished their work.	their	Ο εργάτης τελείωσε τη δουλειά του.	M			Die Arbeiter beendeten ihre Arbeit.	error [incorrect]			El trabajador terminó su trabajo.	M			De arbeider was klaar met zijn werk.	M		
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M			Der Mechaniker hat seine Arbeit beendet.	M			El mecánico terminó su trabajo.	M			De monteur is klaar met zijn werk.	M		
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	M			Der Fahrer hat seine Arbeit beendet.	M			El conductor terminó su trabajo.	M			De chauffeur was klaar met zijn werk.	M		
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M			Die Maschinisten beendeten ihre Arbeit.	error [incorrect]			El maquinista terminó su trabajo.	M			De machinist was klaar met zijn werk.	M		
painter	male_base	The painter finished their work.	their	Ο ζωγράφος τελείωσε το έργο τους.	error [mixed]			Der Maler hat seine Arbeit beendet.	M			El pintor terminó su obra.	M			De schilder is klaar met zijn werk.	M		
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά τους.	error [mixed]			Die Chemiker haben ihre Arbeit beendet.	error [incorrect]			El químico terminó su trabajo.	M			De scheikundige was klaar met zijn werk.	M		
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής τελείωσε τη δουλειά του.	M			Der Manager hat seine Arbeit beendet.	M			El gerente terminó su trabajo.	M			De manager was klaar met zijn werk.	M		
supervisor	neutral_base	The supervisor finished their work.	their	Ο επιβλέπων τελείωσε τη δουλειά τους.	error [mixed]			Der Vorgesetzte hat seine Arbeit beendet.	M			El supervisor terminó su trabajo.	M			De supervisor was klaar met zijn werk.	M		
salesperson	neutral_base	The salesperson finished their work.	their	Ο πωλητής τελείωσε τη δουλειά του.	M			Der Verkäufer hat seine Arbeit beendet.	M			El vendedor terminó su trabajo.	M			De verkoper was klaar met zijn werk.	M		
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος τελείωσε τη δουλειά του.	M			Der Fotograf hat seine Arbeit beendet.	M			El fotógrafo terminó su trabajo.	M			De fotograaf is klaar met zijn werk.	M		
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	M			Der Barkeeper hat seine Arbeit beendet.	M			El camarero terminó su trabajo.	M			De barman was klaar met zijn werk.	M		
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο αποστολέας τελείωσε τη δουλειά του.	M			Die Disponenten haben ihre Arbeit beendet.	error [incorrect]			El despachador terminó su trabajo.	M			De centralist is klaar met zijn werk.	M		
judge	neutral_base	The judge finished their work.	their	Ο δικαστής τελείωσε τη δουλειά τους.	error [mixed]			Der Richter hat seine Arbeit beendet.	M			El juez terminó su trabajo.	M			De rechter was klaar met zijn werk.	M		
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε τη δουλειά του.	M			Der Künstler hat sein Werk beendet.	M			El artista terminó su obra.	M			De kunstenaar heeft zijn werk voltooid.	M		
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής τελείωσε τη δουλειά του.	M			Der Designer hat seine Arbeit beendet.	M			El diseñador terminó su trabajo.	M			De ontwerper heeft zijn werk afgerond.	M		
