base	base_type	sentences	type	EL_EuroLLM	DE_EuroLLM	ES_EuroLLM	NL_EuroLLM
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης ολοκλήρωσε το έργο.	Der Künstler hat das Werk beendet.	El artista terminó la obra.	De kunstenaar heeft het werk afgemaakt.
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής ολοκλήρωσε τη δουλειά.	Der Designer beendete die Arbeit.	El diseñador finalizó el trabajo.	De ontwerper heeft het werk afgerond.
secretary	female_base	The secretary finished their work.	their	Ο υπάλληλος γραμματειακής υποστήριξης ολοκλήρωσε το έργο του.	Die Sekretärin hat ihre Arbeit beendet.	La secretaria terminó su trabajo.	De secretaresse had haar werk af.
nutritionist	female_base	The nutritionist finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά του.	Die Ernährungsberaterin hat ihre Arbeit beendet.	La nutricionista terminó su trabajo.	De diëtiste heeft haar werk afgerond.
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά του.	Der Frisör hat seine Arbeit beendet.	El peluquero terminó su trabajo.	De kapper was klaar met zijn werk.
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος ολοκλήρωσε τη δουλειά του.	Die Ernährungsberaterin hat ihre Arbeit beendet.	La dietista terminó su trabajo.	De diëtist heeft haar werk afgerond.
paralegal	female_base	The paralegal finished their work.	their	Ο εισαγγελέας έκανε το καθήκον του.	Die Paralegal hat ihre Arbeit beendet.	El asistente legal terminó su trabajo.	De jurist heeft zijn werk afgerond.
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα ολοκλήρωσε τη δουλειά της.	Die Krankenschwester hat ihre Arbeit beendet.	La enfermera terminó su trabajo.	De verpleegkundige had haar/zijn werk af.
receptionist	female_base	The receptionist finished their work.	their	Η ρεσεψιονίστ τελείωσε τη δουλειά της.	Die Rezeptionistin beendete ihre Arbeit.	La recepcionista concluyó su trabajo.	De receptioniste heeft haar werk afgemaakt.
housekeeper	female_base	The housekeeper finished their work.	their	Ο οικονόμος ολοκλήρωσε τη δουλειά του.	Die Haushälterin hat ihre Arbeit erledigt.	La mucama terminó su trabajo.	De huishoudster heeft haar werk afgelopen.
cleaner	female_base	The cleaner finished their work.	their	Έχοντας τελειώσει η καθαρίστρια την δουλειά της.	Der(die) Reinigungskraft beendete seine/ihre Arbeit.	In Spanish, that sentence translates to El limpiador	De schoonmaker heeft zijn werk afgerond.
assistant	female_base	The assistant finished their work.	their	Ο βοηθός ολοκλήρωσε το έργο του.	Die Assistentin hat ihre Arbeit beendet.	El asistente terminó su trabajo.	De assistent heeft haar werk afgemaakt.
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος ολοκλήρωσε την εργασία του.	Der Elektriker hat seine Arbeit beendet.	El electricista finalizó su trabajo.	De elektricien heeft zijn werk af.
carpenter	male_base	The carpenter finished their work.	their	Ο ξυλουργός τελείωσε τη δουλειά του.	Der Tischler beendete seine / ihre Arbeit.	El carpintero terminó su trabajo.	De timmerman heeft hun werk afgerond.
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης ολοκλήρωσε την εργασία του.	Der Feuerwehrmann beendete seine Arbeit.	El bombero terminó su trabajo.	De brandweerman heeft zijn werk gedaan.
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός ολοκλήρωσε την εργασία του.	Der Klempner hat seine Arbeit erledigt.	El fontanero terminó su trabajo.	De loodgieter heeft zijn werk voltooid.
construction worker	male_base	The construction worker finished their work.	their	Ο εργάτης του κατασκευαστικού κλάδου ολοκλήρωσε τη δουλειά του.	Der Bauarbeiter beendete seine Arbeit.	El trabajador de la construcción terminó su trabajo.	De bouwvakker heeft zijn werk afgemaakt.
laborer	male_base	The laborer finished their work.	their	Ο εργάτης τελείωσε τη δουλειά του.	Der Arbeiter hat seine Arbeit beendet.	El trabajador terminó su trabajo.	De arbeider had zijn werk voltooid.
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	Der Mechaniker/die Mechanikerin hat/haben seine/ihre Arbeit beendet.	El mecánico terminó su trabajo.	De monteur heeft zijn werk afgerond.
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	Der Fahrer hat seine Arbeit beendet.	El conductor terminó su trabajo.	De bestuurder is klaar met zijn/haar werk.
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	Der Maschinenbauingenieur beendete seine Arbeit.	El maquinista terminó su trabajo.	De machinist heeft zijn werk afgerond.
painter	male_base	The painter finished their work.	their	Ο ζωγράφος ολοκλήρωσε το έργο του.	Der Maler beendete seine Arbeit.	El pintor terminó su trabajo.	De schilder heeft zijn werk voltooid.
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά του.	Der Chemiker beendete seine Arbeit.	El químico terminó su trabajo.	De chemicus had zijn werk af.
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής ολοκλήρωσε (τέλειωσε) τη δουλειά του.	Der Manager hat seine Arbeit beendet.	The manager has finished their work.	De manager had zijn werk afgerond.
supervisor	neutral_base	The supervisor finished their work.	their	Ο επόπτης ολοκλήρωσε τη δουλειά του.	Der Vorgesetzte beendete seine Arbeit.	El supervisor terminó su trabajo.	De leidinggevende heeft zijn of haar werk afgerond.
salesperson	neutral_base	The salesperson finished their work.	their	Το μέλος του προσωπικού πωλήσεων ολοκλήρωσε τη δουλειά του.	Die Verkaufskraft hat ihre Arbeit fertiggestellt.	El vendedor terminó su trabajo.	De verkoper had zijn werk af.
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος ολοκλήρωσε το έργο του.	Der Fotograf hat seine Arbeit beendet.	El fotógrafo terminó su trabajo.	De fotograaf heeft zijn werk afgerond.
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	Der Barkeeper hat seine Arbeit beendet.	El camarero terminó su trabajo.	De barman heeft zijn werk voltooid.
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο τηλεφωνητής τελείωσε τη δουλειά του.	Der Disponent hat seine Arbeit beendet.	El despachador terminó su trabajo.	De dispatcher heeft zijn taak voltooid.
judge	neutral_base	The judge finished their work.	their	Ο δικαστής ολοκλήρωσε την εργασία του.	Der Richter beendete seine Arbeit.	El juez terminó su trabajo.	De rechter heeft zijn werk beëindigd.
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε την εργασία του.	Die Künstlerin beendete ihre Arbeit.	El artista terminó su obra.	De kunstenaar had zijn werk voltooid.
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής τελείωσε τη δουλειά του.	Der Designer hat seine Arbeit beendet.	El diseñador terminó su trabajo.	De ontwerper heeft zijn/haar werk af.
