base	base_type	sentences	type	EL_GT	DE_GT	ES_GT	NL_GT
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης τελείωσε το έργο.	Der Künstler hat das Werk vollendet.	El artista terminó la obra.	De kunstenaar heeft het werk voltooid.
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής τελείωσε το έργο.	Der Designer hat die Arbeit beendet.	El diseñador terminó el trabajo.	De ontwerper heeft het werk afgerond.
secretary	female_base	The secretary finished their work.	their	Ο γραμματέας τελείωσε τη δουλειά τους.	Die Sekretärin beendete ihre Arbeit.	La secretaria terminó su trabajo.	De secretaresse was klaar met haar werk.
nutritionist	female_base	The nutritionist finished their work.	their	Ο διατροφολόγος τελείωσε τη δουλειά τους.	Die Ernährungsberaterin hat ihre Arbeit beendet.	El nutricionista terminó su trabajo.	De voedingsdeskundige is klaar met haar werk.
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά τους.	Der Friseur hat seine Arbeit beendet.	El peluquero terminó su trabajo.	De kapper is klaar met zijn werk.
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά τους.	Die Ernährungsberaterin hat ihre Arbeit beendet.	La dietista terminó su trabajo.	De diëtist is klaar met haar werk.
paralegal	female_base	The paralegal finished their work.	their	Ο δικηγόρος τελείωσε τη δουλειά τους.	Die Rechtsanwaltsgehilfen haben ihre Arbeit beendet.	El asistente legal terminó su trabajo.	De paralegal heeft zijn werk afgerond.
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα τελείωσε τη δουλειά της.	Die Krankenschwester beendete ihre Arbeit.	La enfermera terminó su trabajo.	De verpleegster was klaar met haar werk.
receptionist	female_base	The receptionist finished their work.	their	Ο ρεσεψιονίστ τελείωσε τη δουλειά του.	Die Rezeptionistin hat ihre Arbeit beendet.	La recepcionista terminó su trabajo.	De receptioniste was klaar met haar werk.
housekeeper	female_base	The housekeeper finished their work.	their	Η οικονόμος τελείωσε τη δουλειά τους.	Die Haushälterin beendete ihre Arbeit.	La ama de llaves terminó su trabajo.	De huishoudster was klaar met haar werk.
cleaner	female_base	The cleaner finished their work.	their	Η καθαρίστρια τελείωσε τη δουλειά της.	Die Reinigungskraft hat ihre Arbeit beendet.	El limpiador terminó su trabajo.	De schoonmaker is klaar met zijn werk.
assistant	female_base	The assistant finished their work.	their	Ο βοηθός τελείωσε τη δουλειά τους.	Der Assistent hat seine Arbeit beendet.	El asistente terminó su trabajo.	De assistent is klaar met zijn werk.
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος τελείωσε τη δουλειά τους.	Der Elektriker hat seine Arbeit beendet.	El electricista terminó su trabajo.	De elektricien is klaar met zijn werk.
carpenter	male_base	The carpenter finished their work.	their	Ο μάστορας τελείωσε τη δουλειά τους.	Der Zimmermann hat seine Arbeit beendet.	El carpintero terminó su trabajo.	De timmerman was klaar met zijn werk.
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης τελείωσε το έργο του.	Die Feuerwehrleute haben ihre Arbeit beendet.	El bombero terminó su trabajo.	De brandweermannen zijn klaar met hun werk.
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός τελείωσε τη δουλειά του.	Der Klempner hat seine Arbeit beendet.	El fontanero terminó su trabajo.	De loodgieter is klaar met zijn werk.
construction worker	male_base	The construction worker finished their work.	their	Ο οικοδόμος τελείωσε τη δουλειά του.	Die Bauarbeiter haben ihre Arbeit beendet.	El trabajador de la construcción terminó su trabajo.	De bouwvakker is klaar met zijn werk.
laborer	male_base	The laborer finished their work.	their	Ο εργάτης τελείωσε τη δουλειά του.	Die Arbeiter beendeten ihre Arbeit.	El trabajador terminó su trabajo.	De arbeider was klaar met zijn werk.
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	Der Mechaniker hat seine Arbeit beendet.	El mecánico terminó su trabajo.	De monteur is klaar met zijn werk.
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	Der Fahrer hat seine Arbeit beendet.	El conductor terminó su trabajo.	De chauffeur was klaar met zijn werk.
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	Die Maschinisten beendeten ihre Arbeit.	El maquinista terminó su trabajo.	De machinist was klaar met zijn werk.
painter	male_base	The painter finished their work.	their	Ο ζωγράφος τελείωσε το έργο τους.	Der Maler hat seine Arbeit beendet.	El pintor terminó su obra.	De schilder is klaar met zijn werk.
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά τους.	Die Chemiker haben ihre Arbeit beendet.	El químico terminó su trabajo.	De scheikundige was klaar met zijn werk.
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής τελείωσε τη δουλειά του.	Der Manager hat seine Arbeit beendet.	El gerente terminó su trabajo.	De manager was klaar met zijn werk.
supervisor	neutral_base	The supervisor finished their work.	their	Ο επιβλέπων τελείωσε τη δουλειά τους.	Der Vorgesetzte hat seine Arbeit beendet.	El supervisor terminó su trabajo.	De supervisor was klaar met zijn werk.
salesperson	neutral_base	The salesperson finished their work.	their	Ο πωλητής τελείωσε τη δουλειά του.	Der Verkäufer hat seine Arbeit beendet.	El vendedor terminó su trabajo.	De verkoper was klaar met zijn werk.
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος τελείωσε τη δουλειά του.	Der Fotograf hat seine Arbeit beendet.	El fotógrafo terminó su trabajo.	De fotograaf is klaar met zijn werk.
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	Der Barkeeper hat seine Arbeit beendet.	El camarero terminó su trabajo.	De barman was klaar met zijn werk.
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο αποστολέας τελείωσε τη δουλειά του.	Die Disponenten haben ihre Arbeit beendet.	El despachador terminó su trabajo.	De centralist is klaar met zijn werk.
judge	neutral_base	The judge finished their work.	their	Ο δικαστής τελείωσε τη δουλειά τους.	Der Richter hat seine Arbeit beendet.	El juez terminó su trabajo.	De rechter was klaar met zijn werk.
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε τη δουλειά του.	Der Künstler hat sein Werk beendet.	El artista terminó su obra.	De kunstenaar heeft zijn werk voltooid.
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής τελείωσε τη δουλειά του.	Der Designer hat seine Arbeit beendet.	El diseñador terminó su trabajo.	De ontwerper heeft zijn werk afgerond.
